Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_Food
Suoi Rang,-1,4.5,"1c Hoàng Sa Tho Quang, Son Tra, Đà Nẵng Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/10/cb/4c/1f/khu-du-lich-suoi-rang.jpg,"Tôi đã thử nhiều hải sản ở đây, họ đã tươi, chuẩn bị tốt từ nhà bếp. Cảm ơn các đầu bếp cho một bữa ăn đẹp.",#654 trên 1.060 nhà hàng ở Đà Nẵng,https://www.tripadvisor.com.vn/Restaurant_Review-g298085-d4793367-Reviews-Suoi_Rang-Da_Nang.html
Hằng Me Huế,-1,3.5,"195 Trần Phú Quận Hải Châu, Đà Nẵng 550000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/11/5c/6e/a9/hang-me-hue.jpg,"Quán nằm ở con đường Trần Phú tấp nập và nhộn nhịp. Điểm công duy nhất của quán là vị trí. Còn lại hương vị món ăn chưa ngon, phục vụ rất lâu, giá cả so với chất lượng món ăn là quá cao.",#657 trên 1.060 nhà hàng ở Đà Nẵng,https://www.tripadvisor.com.vn/Restaurant_Review-g298085-d8661957-Reviews-Hang_Me_Hue-Da_Nang.html
Nhà Hàng Nướng Hàn Quốc K-BBQ,-1,4,"Lô C1-22 Phan Bôi An Hải Bắc, Sơn Trà, Đà Nẵng 550000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/13/e7/73/7e/20180704-220734-largejpg.jpg,"Quán ăn ở vị trí dễ tìm, di chuyển ra biển thuận lợi, đồ ăn đa dạng phong phú nhân viên nhanh nhẹn chuyên nghiệp",#658 trên 1.060 nhà hàng ở Đà Nẵng,https://www.tripadvisor.com.vn/Restaurant_Review-g298085-d14212569-Reviews-Nha_Hang_Nuong_Han_Quoc_K_BBQ-Da_Nang.html
Nhà Hàng Mabela,-1,5,"85-87 Hồ Nghinh Phước Mỹ, Đà Nẵng 550000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/18/8c/e7/a6/nha-hang-mabela.jpg,"Nhà hàng gần biển thuận tiện, món ăn ngon, hải sản giá cả cực kỳ hợp lý với một không gian như vậy, nhân viên nhiệt tình, khi order món tráng miệng còn được free luôn hehe",#23 trên 30 nhà hàng ở Son Tra Peninsula,https://www.tripadvisor.com.vn/Restaurant_Review-g17786366-d17793263-Reviews-Mabela_Restaurant-Son_Tra_Peninsula_Da_Nang.html
Nhà Hàng Yun's,-1,5,"Lô A2.2, 05, 06 Hoàng Sa Thọ Quang, Sơn Trà, Đà Nẵng 550000 Việt Nam",-1,"Kiểu Á, Kiểu Hàn Quốc, Kiểu Việt",#659 trên 1.060 nhà hàng ở Đà Nẵng,https://www.tripadvisor.com.vn/Restaurant_Review-g298085-d15871399-Reviews-Nha_Hang_Yun_s-Da_Nang.html
Sườn Nướng Cao Bồi,-1,5,"G1 Phạm Văn Đồng An Hải Bắc, Sơn Trà, Đà Nẵng 550000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/16/96/96/6c/great-ribs-chicken-and.jpg,Tôi thích các món nướng ở đây. Ngon và lạ miệng. Hương vị rất thơm và nhân viên vui vẻ. Cảm ơn các bạn,#660 trên 1.060 nhà hàng ở Đà Nẵng,https://www.tripadvisor.com.vn/Restaurant_Review-g298085-d16724563-Reviews-Suon_Nuong_Cao_Boi-Da_Nang.html
Hana restaurant,-1,4.5,"41 Lê Hồng Phong, Đà Nẵng 57000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/10/80/ce/50/fresh-sushi.jpg,"Sushi tươi và cơm rất ngon. Các món ăn khác cũng tốt, và dịch vụ của nhân viên ở đây khiến tôi muốn ghé thăm một lần nữa",#661 trên 1.060 nhà hàng ở Đà Nẵng,https://www.tripadvisor.com.vn/Restaurant_Review-g298085-d12842273-Reviews-Hana_restaurant-Da_Nang.html
Ẩm Thực Hà Nội 58,-1,4,"58 Thái Phiên, Đà Nẵng 550000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/16/64/ea/82/img-20190131-185836-largejpg.jpg,"Tôi đã thực hiện nghiên cứu của mình và đang tìm kiếm Bun Cha ngon nhất ở Năng, và trong khi đây có thể không phải là món ngon nhất tuyệt đối, nó đã không làm mọi người thất vọng. Chủ sở hữu tốt bụng...Thêm",#662 trên 1.060 nhà hàng ở Đà Nẵng,https://www.tripadvisor.com.vn/Restaurant_Review-g298085-d14054031-Reviews-Am_Thuc_Ha_Noi_58-Da_Nang.html
Cơm Niêu Nhà Đỏ,-1,3.5,"86 Nguyễn Tri Phương, Đà Nẵng Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/1a/7a/4f/e8/20200103-141915-largejpg.jpg,"Các món ăn phong phú, phục vụ nhanh. Không gian lịch sự, ấm cúng, Thích hợp gia đình hoặc khách đoàn đông người!",#663 trên 1.060 nhà hàng ở Đà Nẵng,https://www.tripadvisor.com.vn/Restaurant_Review-g298085-d12847554-Reviews-Com_Nieu_Nha_Do-Da_Nang.html
An Lạc Tâm,-1,4,"117 Phan Đăng Lưu, Đà Nẵng 550000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/19/7f/df/1d/an-lac-tam.jpg,"Nhà hàng với thực đơn phong phú, tôi thích món cơm thố và mỳ Quảng nghệ. Hơn hết đặc biệt đánh giá cao sự thân thiện của nhân viên,đặc biệt là một người Chú làm nhiệm vụ take oder và thu ngân rất niềm nở...Thêm",#664 trên 1.060 nhà hàng ở Đà Nẵng,https://www.tripadvisor.com.vn/Restaurant_Review-g298085-d14011785-Reviews-An_Lac_Tam-Da_Nang.html
